Country,"Country ISO",Region,"Region ISO",Population,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08
Afghanistan,AF,,,29121286,0/0/230290/0/7973,0/0/231329/0/7982,0/0/231990/0/7982,0/0/232948/0/7985,0/0/234576/0/7997,0/0/235214/0/7998,0/0/235214/0/7998,0/0/235214/0/7998,0/0/235214/0/7998
Albania,AL,,,2862427,0/0/334555/0/3604,0/0/334863/0/3605,0/0/334863/0/3605,0/0/334863/0/3605,0/0/334863/0/3605,0/0/334863/0/3605,0/0/335047/0/3605,0/0/335047/0/3605,0/0/335047/0/3605
Algeria,DZ,,,34586184,0/0/272010/0/6881,0/0/272010/0/6881,0/0/272010/0/6881,0/0/272017/0/6881,0/0/272027/0/6881,0/0/272032/0/6881,0/0/272037/0/6881,0/0/272121/0/6881,0/0/272139/0/6881
"American Samoa",AS,,,57881,0/0/8359/0/34,0/0/8359/0/34,0/0/8359/0/34,0/0/8359/0/34,0/0/8359/0/34,0/0/8359/0/34,0/0/8359/0/34,0/0/8359/0/34,0/0/8359/0/34
Andorra,AD,,,76177,0/0/48015/0/159,0/0/48015/0/159,0/0/48015/0/159,0/0/48015/0/159,0/0/48015/0/159,0/0/48015/0/159,0/0/48015/0/159,0/0/48015/0/159,0/0/48015/0/159
Angola,AO,,,13068161,0/0/106720/0/1937,0/0/107084/0/1937,0/0/107325/0/1937,0/0/107357/0/1937,0/0/107394/0/1937,0/0/107454/0/1937,0/0/107469/0/1937,0/0/107481/0/1937,0/0/107481/0/1937
Antarctica,AQ,,,,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0
"Antigua and Barbuda",AG,,,86754,0/0/9106/0/146,0/0/9106/0/146,0/0/9106/0/146,0/0/9106/0/146,0/0/9106/0/146,0/0/9106/0/146,0/0/9106/0/146,0/0/9106/0/146,0/0/9106/0/146
Argentina,AR,,,41343201,41522800/0/10075242/0/130687,41529058/0/10094643/0/130733,0/0/10087163/0/130577,0/0/10130243/0/130847,0/0/10131519/0/130857,0/0/10132472/0/130865,0/0/10133177/0/130869,0/0/10101164/0/130662,0/0/10101218/0/130663
Armenia,AM,,,2965269,0/0/451353/0/8771,0/0/451426/0/8775,0/0/451426/0/8775,0/0/451831/0/8777,0/0/451831/0/8777,0/0/451944/0/8777,0/0/451944/0/8777,0/0/452273/0/8777,0/0/452273/0/8777
Australia,AU,,,21515754,0/0/11710216/0/24087,0/0/11762120/0/24548,0/0/11792675/0/24798,0/0/11822999/0/25020,0/0/11841506/0/25698,0/0/11861161/0/25236,0/0/11861161/0/25236,0/0/11861161/0/25236,0/0/11861161/0/25236
Australia,AU,"Australian Capital Territory",AU-ACT,406400,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0
