Country,"Country ISO",Region,"Region ISO",Population,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05
Afghanistan,AF,,,29121286,5456919/981844/180347/0/7705,5713284/994894/182528/0/7723,7294709/0/185749/0/7748,10730669/0/193250/0/7777,10929549/0/199188/0/7800,11130641/0/203063/0/7822,11292816/0/205907/0/7833,11459692/0/207559/0/7849,11684678/0/208545/0/7882,13441995/0/209322/0/7896,14457250/0/210582/0/7883,14778598/0/214880/0/7892,15875256/0/221800/0/7915,17283424/0/223280/0/7928,17579369/0/224201/0/7940,17921323/0/225302/0/7944,18257599/0/226220/0/7950,18526070/0/227454/0/7953,18896999/0/229214/0/7965,0/0/230290/0/7973,0/0/231329/0/7982,0/0/231990/0/7982,0/0/232948/0/7985,0/0/233472/0/7985,0/0/0/0/0
Albania,AL,,,2862427,1320244/1609181/276101/0/3497,1326545/1613870/280851/0/3500,1331453/0/312097/0/3545,1334091/0/329352/0/3582,1337562/0/332221/0/3589,1339532/0/332966/0/3593,1341413/0/333343/0/3594,1342243/0/333806/0/3595,1344582/0/334167/0/3596,1345763/0/334391/0/3598,1347054/0/333855/0/3603,1347760/0/334090/0/3604,1348396/0/334090/0/3604,0/0/334090/0/3604,0/0/334090/0/3604,0/0/334090/0/3604,0/0/334090/0/3604,0/0/334090/0/3604,0/0/334090/0/3604,0/0/334555/0/3604,0/0/334863/0/3605,0/0/334863/0/3605,0/0/334863/0/3605,0/0/334863/0/3605,0/0/0/0/0
Algeria,DZ,,,34586184,8210605/0/265884/0/6875,0/0/266087/0/6875,0/0/267454/0/6876,0/0/270304/0/6878,7840131/0/270673/0/6879,0/0/270838/0/6881,0/0/271090/0/6881,0/0/271228/0/6881,0/0/271378/0/6881,0/0/271441/0/6881,0/0/271584/0/6881,0/0/271712/0/6881,0/0/271838/0/6881,0/0/271847/0/6881,0/0/271852/0/6881,0/0/271852/0/6881,0/0/271910/0/6881,0/0/271945/0/6881,0/0/271997/0/6881,0/0/272010/0/6881,0/0/272010/0/6881,0/0/272010/0/6881,0/0/272017/0/6881,0/0/272023/0/6881,0/0/0/0/0
"American Samoa",AS,,,57881,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/8320/0/34,0/0/8326/0/34,0/0/8329/0/34,0/0/8331/0/34,0/0/8332/0/34,0/0/8332/0/34,0/0/8341/0/34,0/0/8359/0/34,0/0/8359/0/34,0/0/8359/0/34,0/0/8359/0/34,0/0/8359/0/34,0/0/8359/0/34,0/0/8359/0/34,0/0/8359/0/34,0/0/0/0/0
Andorra,AD,,,76177,57880/0/42894/0/153,57886/0/43774/0/153,57888/0/45508/0/153,57892/0/46027/0/154,57894/0/46227/0/155,57898/0/46535/0/155,57901/0/47219/0/157,0/0/47751/0/165,57903/0/47839/0/165,57904/0/47866/0/165,0/0/47930/0/159,57910/0/47974/0/159,0/0/48015/0/159,0/0/48015/0/159,0/0/48015/0/159,0/0/48015/0/159,0/0/48015/0/159,0/0/48015/0/159,0/0/48015/0/159,0/0/48015/0/159,0/0/48015/0/159,0/0/48015/0/159,0/0/48015/0/159,0/0/48015/0/159,0/0/0/0/0
Angola,AO,,,13068161,12847899/1618311/99761/0/1900,13153694/1618566/101320/0/1900,13639803/0/102301/0/1912,14195788/0/102636/0/1917,14220830/0/103131/0/1917,14220830/0/103131/0/1917,14220830/0/104676/0/1924,15079129/0/105095/0/1930,0/0/105184/0/1931,15349780/0/105255/0/1933,15510800/0/105331/0/1934,15708883/0/105384/0/1934,15745756/0/105384/0/1934,15980639/0/105384/0/1934,16177587/0/105384/0/1934,16307216/0/105384/0/1934,16406741/0/105968/0/1936,16490814/0/105976/0/1936,16522932/0/106002/0/1936,0/0/106720/0/1937,0/0/107084/0/1937,0/0/107325/0/1937,0/0/107357/0/1937,0/0/107371/0/1937,0/0/0/0/0
Antarctica,AQ,,,,0/0/11/0/0,0/0/11/0/0,0/0/11/0/0,0/0/11/0/0,0/0/11/0/0,0/0/11/0/0,0/0/11/0/0,0/0/11/0/0,0/0/11/0/0,0/0/11/0/0,0/0/11/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0
"Antigua and Barbuda",AG,,,86754,63995/0/8253/0/138,64091/0/8641/0/141,0/0/8773/0/144,64091/0/8974/0/145,64290/0/9098/0/146,0/0/9106/0/146,0/0/9106/0/146,0/0/9106/0/146,0/0/9106/0/146,0/0/9106/0/146,0/0/9106/0/146,0/0/9106/0/146,0/0/9106/0/146,0/0/9106/0/146,0/0/9106/0/146,0/0/9106/0/146,0/0/9106/0/146,0/0/9106/0/146,0/0/9106/0/146,0/0/9106/0/146,0/0/9106/0/146,0/0/9106/0/146,0/0/9106/0/146,0/0/9106/0/146,0/0/0/0/0
Argentina,AR,,,41343201,41113607/36624317/9230573/0/128889,41160878/36663990/9367172/0/129070,41201414/0/9560307/0/129369,41260294/0/9678225/0/129711,41312501/0/9708420/0/129897,41349687/0/9718875/0/129991,41375117/0/9727247/0/130025,41405245/0/9891139/0/130124,41449770/0/10037135/0/130421,41473221/0/10044125/0/130463,41483741/0/10044957/0/130472,41489244/0/10044957/0/130472,41493901/0/10044957/0/130472,41498134/0/10044957/0/130472,41502408/0/10044957/0/130472,41504955/0/10044957/0/130472,41509834/0/10054576/0/130472,41515554/0/10054576/0/130472,41520500/0/10072905/0/130678,41522800/0/10075242/0/130687,41529058/0/10094643/0/130733,0/0/10087163/0/130577,0/0/10130243/0/130847,0/0/10131173/0/130853,0/0/0/0/0
Armenia,AM,,,2965269,0/3102267/422963/0/8625,0/0/423243/0/8629,0/0/425365/0/8633,0/0/434398/0/8655,0/0/442875/0/8683,0/0/445242/0/8709,0/0/445737/0/8710,0/0/445976/0/8716,0/0/446008/0/8717,0/0/446819/0/8721,1130844/0/448458/0/8743,0/0/449062/0/8747,1122040/0/449203/0/8750,1122646/0/449233/0/8751,0/0/449273/0/8751,0/0/449357/0/8751,1150915/0/449650/0/8751,0/0/450570/0/8765,0/0/451107/0/8774,0/0/451353/0/8771,0/0/451426/0/8775,0/0/451426/0/8775,0/0/451831/0/8777,0/0/451831/0/8777,0/0/0/0/0
Australia,AU,,,21515754,22321450/72005172/7346124/0/8601,22353997/73370295/8194909/0/9984,22397334/0/9473282/0/11957,22425788/0/10051647/0/13999,22443557/0/10240631/0/15221,0/0/10381125/0/15665,22236983/0/10742127/0/16203,22235469/0/11132933/0/17052,22236993/0/11295446/0/18615,22236698/0/11366361/0/19373,0/0/11101234/0/19511,0/0/11210651/0/20119,0/0/11420039/0/21063,0/0/11508834/0/21685,0/0/11560270/0/22482,0/0/11587275/0/22781,0/0/11608166/0/23129,0/0/11629977/0/23289,0/0/11678853/0/23766,0/0/11710216/0/24087,0/0/11762120/0/24548,0/0/11792675/0/24798,0/0/11822999/0/25020,0/0/11836372/0/25165,0/0/0/0/0
