Country,"Country ISO",Region,"Region ISO",Population,2024-07-23,2024-07-24,2024-07-25,2024-07-26,2024-07-27,2024-07-28,2024-07-29,2024-07-30,2024-07-31,2024-08-01,2024-08-02,2024-08-03,2024-08-04,2024-08-05,2024-08-06,2024-08-07,2024-08-08,2024-08-09,2024-08-10,2024-08-11,2024-08-12,2024-08-13
Afghanistan,AF,,,29121286,0/0/235214/0/7998,0/0/235214/0/7998,0/0/235214/0/7998,0/0/235214/0/7998,0/0/235214/0/7998,0/0/235214/0/7998,0/0/235214/0/7998,0/0/235214/0/7998,0/0/235214/0/7998,0/0/235214/0/7998,0/0/235214/0/7998,0/0/235214/0/7998,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0
Albania,AL,,,2862427,0/0/335047/0/3605,0/0/335047/0/3605,0/0/335047/0/3605,0/0/335047/0/3605,0/0/335047/0/3605,0/0/335047/0/3605,0/0/335047/0/3605,0/0/335047/0/3605,0/0/335047/0/3605,0/0/335047/0/3605,0/0/335047/0/3605,0/0/335047/0/3605,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0
Algeria,DZ,,,34586184,0/0/272115/0/6881,0/0/272115/0/6881,0/0/272115/0/6881,0/0/272115/0/6881,0/0/272115/0/6881,0/0/272121/0/6881,0/0/272121/0/6881,0/0/272121/0/6881,0/0/272121/0/6881,0/0/272121/0/6881,0/0/272121/0/6881,0/0/272139/0/6881,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0
"American Samoa",AS,,,57881,0/0/8359/0/34,0/0/8359/0/34,0/0/8359/0/34,0/0/8359/0/34,0/0/8359/0/34,0/0/8359/0/34,0/0/8359/0/34,0/0/8359/0/34,0/0/8359/0/34,0/0/8359/0/34,0/0/8359/0/34,0/0/8359/0/34,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0
Andorra,AD,,,76177,0/0/48015/0/159,0/0/48015/0/159,0/0/48015/0/159,0/0/48015/0/159,0/0/48015/0/159,0/0/48015/0/159,0/0/48015/0/159,0/0/48015/0/159,0/0/48015/0/159,0/0/48015/0/159,0/0/48015/0/159,0/0/48015/0/159,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0
Angola,AO,,,13068161,0/0/107481/0/1937,0/0/107481/0/1937,0/0/107481/0/1937,0/0/107481/0/1937,0/0/107481/0/1937,0/0/107481/0/1937,0/0/107481/0/1937,0/0/107481/0/1937,0/0/107481/0/1937,0/0/107481/0/1937,0/0/107481/0/1937,0/0/107481/0/1937,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0
Antarctica,AQ,,,,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0
"Antigua and Barbuda",AG,,,86754,0/0/9106/0/146,0/0/9106/0/146,0/0/9106/0/146,0/0/9106/0/146,0/0/9106/0/146,0/0/9106/0/146,0/0/9106/0/146,0/0/9106/0/146,0/0/9106/0/146,0/0/9106/0/146,0/0/9106/0/146,0/0/9106/0/146,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0
Argentina,AR,,,41343201,0/0/10113635/0/130685,0/0/10113635/0/130685,0/0/10113635/0/130685,0/0/10113635/0/130685,0/0/10113717/0/130686,0/0/10101164/0/130662,0/0/10101164/0/130662,0/0/10101164/0/130662,0/0/10101164/0/130662,0/0/10101164/0/130662,0/0/10101164/0/130662,0/0/10101218/0/130663,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0
Armenia,AM,,,2965269,0/0/452273/0/8777,0/0/452273/0/8777,0/0/452273/0/8777,0/0/452273/0/8777,0/0/452273/0/8777,0/0/452273/0/8777,0/0/452273/0/8777,0/0/452273/0/8777,0/0/452273/0/8777,0/0/452273/0/8777,0/0/452273/0/8777,0/0/452273/0/8777,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0
Australia,AU,,,21515754,0/0/11861161/0/25236,0/0/11861161/0/25236,0/0/11861161/0/25236,0/0/11861161/0/25236,0/0/11861161/0/25236,0/0/11861161/0/25236,0/0/11861161/0/25236,0/0/11861161/0/25236,0/0/11861161/0/25236,0/0/11861161/0/25236,0/0/11861161/0/25236,0/0/11861161/0/25236,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0
Australia,AU,"Australian Capital Territory",AU-ACT,406400,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0
Australia,AU,"New South Wales",AU-NSW,7797800,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0
Australia,AU,"Northern Territory",AU-NT,245000,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0
Australia,AU,Queensland,AU-QLD,4883700,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0
Australia,AU,"South Australia",AU-SA,1717000,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0
Australia,AU,Tasmania,AU-TAS,519100,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0
Australia,AU,Victoria,AU-VIC,6244200,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0
Australia,AU,"Western Australia",AU-WA,2567800,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0
Austria,AT,,,8858775,0/0/6082414/0/22534,0/0/6082414/0/22534,0/0/6082414/0/22534,0/0/6082414/0/22534,0/0/6082429/0/22534,0/0/6082429/0/22534,0/0/6082429/0/22534,0/0/6082429/0/22534,0/0/6082429/0/22534,0/0/6082429/0/22534,0/0/6082429/0/22534,0/0/6082444/0/22534,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0
Azerbaijan,AZ,,,9981457,0/0/835636/0/10353,0/0/835636/0/10353,0/0/835636/0/10353,0/0/835636/0/10353,0/0/835694/0/10353,0/0/835694/0/10353,0/0/835694/0/10353,0/0/835694/0/10353,0/0/835694/0/10353,0/0/835694/0/10353,0/0/835694/0/10353,0/0/835757/0/10353,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0
Bahamas,BS,,,301790,0/0/39064/0/849,0/0/39064/0/849,0/0/39064/0/849,0/0/39064/0/849,0/0/39127/0/849,0/0/39127/0/849,0/0/39127/0/849,0/0/39127/0/849,0/0/39127/0/849,0/0/39127/0/849,0/0/39127/0/849,0/0/39127/0/849,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0
Bahrain,BH,,,738004,0/0/696614/0/1536,0/0/696614/0/1536,0/0/696614/0/1536,0/0/696614/0/1536,0/0/696614/0/1536,0/0/696614/0/1536,0/0/696614/0/1536,0/0/696614/0/1536,0/0/696614/0/1536,0/0/696614/0/1536,0/0/696614/0/1536,0/0/696614/0/1536,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0
Bangladesh,BD,,,156118464,0/0/2051272/0/29498,0/0/2051272/0/29498,0/0/2051272/0/29498,0/0/2051272/0/29498,0/0/2051308/0/29499,0/0/2051308/0/29499,0/0/2051308/0/29499,0/0/2051308/0/29499,0/0/2051308/0/29499,0/0/2051308/0/29499,0/0/2051308/0/29499,0/0/2051348/0/29499,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0
Barbados,BB,,,285653,0/0/108473/0/593,0/0/108473/0/593,0/0/108473/0/593,0/0/108473/0/593,0/0/108525/0/593,0/0/108525/0/593,0/0/108525/0/593,0/0/108525/0/593,0/0/108525/0/593,0/0/108525/0/593,0/0/108525/0/593,0/0/108582/0/593,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0
Belarus,BY,,,9475174,0/0/994037/0/7118,0/0/994037/0/7118,0/0/994037/0/7118,0/0/994037/0/7118,0/0/994037/0/7118,0/0/994037/0/7118,0/0/994037/0/7118,0/0/994037/0/7118,0/0/994037/0/7118,0/0/994037/0/7118,0/0/994037/0/7118,0/0/994037/0/7118,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0
