iso,name,population,comment
AU-ACT,Australian Capital Territory,406400,
AU-NSW,New South Wales,7797800,
AU-NT,Northern Territory,245000,
AU-QLD,Queensland,4883700,
AU-SA,South Australia,1717000,
AU-TAS,Tasmania,519100,
AU-VIC,Victoria,6244200,
AU-WA,Western Australia,2567800,
GB-CHA,Channel Islands,170499,
GB-GSY,Guernsey [Guernesey],,
GB-JSY,Jersey,,
GB-ENG,England,,
GB-BDG,Barking and Dagenham,,
GB-BNE,Barnet,,
GB-BNS,Barnsley,,
GB-BAS,Bath and North East Somerset,,
GB-BDF,Bedfordshire,,
GB-BEX,Bexley,,
GB-BIR,Birmingham (City of),,
GB-BBD,Blackburn with Darwen,,
GB-BPL,Blackpool,,
GB-BOL,Bolton,,
GB-BMH,Bournemouth,,
GB-BRC,Bracknell Forest,,
GB-BRD,Bradford (City of),,
GB-BEN,Brent,,
GB-BNH,Brighton and Hove,,
GB-BST,"Bristol, City of",,
GB-BRY,Bromley,,
GB-BKM,Buckinghamshire,,
GB-BUR,Bury,,
GB-CLD,Calderdale,,
GB-CAM,Cambridgeshire,,
GB-CMD,Camden,,
GB-CHS,Cheshire,,
GB-CON,Cornwall,,
GB-COV,Coventry (City of),,
GB-CRY,Croydon,,
GB-CMA,Cumbria,,
GB-DAL,Darlington,,
GB-DER,Derby (City of),,
GB-DBY,Derbyshire,,
GB-DEV,Devon,,
GB-DNC,Doncaster,,
GB-DOR,Dorset,,
GB-DUD,Dudley,,
GB-DUR,Durharn,,
GB-EAL,Ealing,,
GB-ERY,East Riding of Yorkshire,,
GB-ESX,East Sussex,,
GB-ENF,Enfield,,
GB-ESS,Essex,,
GB-GAT,Gateshead,,
GB-GLS,Gloucestershire,,
GB-GRE,Greenwich,,
GB-HCK,Hackney,,
GB-HAL,Haiton,,
GB-HMF,Hammersmith and Fulham,,
GB-HAM,Hampshire,,
GB-HRY,Haringey,,
GB-HRW,Harrow,,
GB-HPL,Hartlepool,,
GB-HAV,Havering,,
GB-HEF,"Herefordshire, County of",,
GB-HRT,Hertfordshire,,
GB-HIL,Hillingdon,,
GB-HNS,Hounslow,,
GB-IOW,Isle of Wight,,
GB-IOS,Isles of Scilly,,
GB-ISL,Islington,,
GB-KEC,Kensington and Chelsea,,
GB-KEN,Kent,,
GB-KHL,"Kingston upon Hull, City of",,
GB-KTT,Kingston upon Thames,,
GB-KIR,Kirklees,,
GB-KWL,Knowsley,,
GB-LBH,Lambeth,,
GB-LAN,Lancashire,,
GB-LDS,Leeds (City of),,
GB-LCE,Leitester (City of),,
GB-LEC,Leicestershire,,
GB-LEW,Lewisham,,
GB-LIN,Lincolnshire,,
GB-LIV,Liverpool (City of),,
GB-LND,"London, City of",,
GB-LUT,Luton,,
GB-MAN,Manchester (City of),,
GB-MDW,Medway,,
GB-MRT,Merton,,
GB-MDB,Middlesbrough,,
GB-MIK,Milton Keynes,,
GB-NET,Newcastle upon Tyne (City of),,
GB-NWM,Newham,,
GB-NFK,Norfolk,,
GB-NEL,North East Lincolnshire,,
GB-NLN,North Lincolnshire,,
GB-NSM,North Somerset,,
GB-NTY,North Tyneside,,
GB-NYK,North Yorkshire,,
