iso,name
RU-AD,"Adygeya Republic"
RU-AGB,"Agin-Buryat Autonomous Okrug"
RU-AL,"Altai Republic"
RU-ALT,"Altai Krai"
RU-AMU,"Amur oblast"
RU-ARK,"Arkhangelsk region"
RU-AST,"Astrakhan oblast"
RU-BA,Bashkortostan
RU-BEL,"Belgorod Oblast"
RU-BRY,"Bryansk Oblast"
RU-BU,"Republic of Buryatia"
RU-CE,"Chechen Republic"
RU-CHE,"Chelyabinsk region"
RU-CHI,"Chita Oblast"
RU-CHU,"Chukotka Autonomous Okrug"
RU-CU,"Chuvash Republic"
RU-DA,"Republic of Dagestan"
RU-EVE,"Jewish Autonomous Okrug"
RU-IN,"The Republic of Ingushetia"
RU-IRK,"Irkutsk oblast"
RU-IVA,"Ivanovo region"
RU-KAM,"Kamchatka Krai"
RU-KB,"Kabardino-Balkarian Republic"
RU-KC,"Karachay-Cherkess Republic"
RU-KDA,"Krasnodar region"
RU-KEM,"Kemerovo Oblast"
RU-KGD,"Kaliningrad Oblast"
RU-KGN,"Kurgan region"
RU-KHA,"Khabarovsk territory"
RU-KHM,"Khanty-Mansi Autonomous Okrug"
RU-KIR,"Kirov region"
RU-KK,"Republic Of Khakassia"
RU-KL,"Republic of Kalmykia"
RU-KLU,"Kaluga region"
RU-KO,"Komi Republic"
RU-KOP,"Komi-Permyak Okrug"
RU-KOR,"Koryak Okrug"
RU-KOS,"Kostroma oblast"
RU-KR,"Republic of Karelia"
RU-KRS,"Kursk oblast"
RU-KYA,"Krasnoyarsk region"
RU-LEN,"Leningrad region"
RU-LIP,"Lipetsk Oblast"
RU-MAG,"Magadan oblast"
RU-ME,"Republic of Mari El"
RU-MO,"Republic of Mordovia"
RU-MOS,"Moscow oblast"
RU-MOW,Moscow
RU-MUR,"Murmansk region"
RU-NEN,"Nenets Autonomous Okrug"
RU-NGR,"Novgorod region"
RU-NIZ,"Nizhny Novgorod region"
RU-NVS,"Novosibirsk region"
RU-OMS,"Omsk oblast"
RU-ORE,"Orenburg region"
RU-ORL,"Orel region"
RU-PER,"Perm region"
RU-PNZ,"Penza region"
RU-PRI,"Primorsky Krai"
RU-PSK,"Pskov Oblast"
RU-ROS,"Rostov oblast"
RU-RYA,"Ryazan region"
RU-SA,Yakutia
RU-SAK,"Sakhalin oblast"
RU-SAM,"Samara region"
RU-SAR,"Saratov region"
RU-SE,"The Republic of North Ossetia – Alania"
RU-SMO,"Smolensk oblast"
RU-SPE,"Saint Petersburg"
RU-STA,"Stavropol Krai"
RU-SVE,"Sverdlovsk region"
RU-TA,"Republic of Tatarstan"
RU-TAM,"Tambov region"
RU-TAY,"Taymyr Autonomous Okrug"
RU-TOM,"Tomsk region"
RU-TUL,"Tula region"
RU-TVE,"Tver region"
RU-TY,"Tuva Republic"
RU-TYU,"Tyumen region"
RU-UD,"Udmurt Republic"
RU-ULY,"Ulyanovsk region"
RU-UOB,"Ust-Orda Buryat Okrug"
RU-VGG,"Volgograd oblast"
RU-VLA,"Vladimir region"
RU-VLG,"Vologda oblast"
RU-VOR,"Voronezh region"
RU-YAN,"Yamalo-Nenets Autonomous district"
RU-YAR,"Yaroslavl oblast"
RU-YEV,"Jewish autonomous oblast"
RU-ZAB,"Transbaikal territory"
RU-40,Sevastopol
RU-43,"Republic of Crimea"
