iso,name
AU-ACT,Австралийская столичная территория
AU-NSW,Новый Южный Уэльс
AU-NT,Северная территория
AU-QLD,Квинсленд
AU-SA,Южная Австралия
AU-TAS,Тасмания
AU-VIC,Виктория
AU-WA,Западная Австралия
BM-BM,Бермуды
KY-KY,Острова Кайман
GB-CHA,Нормандские острова
GI-GI,Гибралтар
GB-IOM,Остров Мэн
MS-MS,Монтсеррат
AI-AI,Ангилья
VG-VG,Виргинские Острова (Великобритания)
TC-TC,Теркс и Кайкос
CA-AB,Альберта
CA-BC,Британская Колумбия
CA-MB,Манитоба
CA-NB,Нью-Брансуик
CA-NL,Ньюфаундленд и Лабрадор
CA-NS,Новая Шотландия
CA-NT,Северо-Западные территории
CA-ON,Онтарио
CA-PE,Остров Принца Эдуарда
CA-QC,Квебек
CA-SK,Саскачеван
CA-YT,Юкон
CN-11,Пекин
CN-12,Тяньцзинь
CN-13,Хэбэй
CN-14,Шаньси
CN-21,Ляонин
CN-22,Гирин
CN-23,Хэйлунцзян
CN-31,Шанхай
CN-32,Цзянсу
CN-33,Чжэцзян
CN-34,Аньхой
CN-35,Фуцзянь
CN-36,Цзянси
CN-37,Шаньдун
CN-41,Хэнань
CN-42,Хубэй
CN-43,Хунань
CN-44,Гуандун
CN-45,Гуанси-Чжуанский
CN-46,Хайнань
CN-50,Чунцин
CN-51,Сычуань
CN-52,Гуйчжоу
CN-53,Юньнань
CN-61,Шэньси
CN-62,Ганьсу
CN-63,Цинхай
CN-64,Нинся-Хуэйский
CN-65,Синьцзян-Уйгурский
CN-91,Гонконг (Сянган)
CN-MO,Макао
CN-NM,Внутренняя Монголия
CN-XZ,Тибетский автономный район
FO-FO,Фарерские острова
GL-GL,Гренландия
FR-BL,Сен-Бартелеми (Карибы)
FR-GP,Гваделупа
FR-MF,Сен-Мартен
FR-MQ,Мартиника
FR-YT,Майотта
FR-PM,Сен-Пьер и Микелон
GF-GF,Гвиана
NC-NC,Новая Каледония
PF-PF,Французская Полинезия
RE-RE,Реюньон
AW-AW,Аруба
NL-BQ,"Бонэйр, Синт-Эстатиус и Саба"
NL-CW,Кюрасао
NL-SX,Синт-Мартен
RU-AD,Республика Адыгея
RU-AGB,Агинский Бурятский автономный округ
RU-AL,Республика Алтай
RU-ALT,Алтайский край
RU-AMU,Амурская область
RU-ARK,Архангельская область
RU-AST,Астраханская область
RU-BA,Башкортостан
RU-BEL,Белгородская область
RU-BRY,Брянская область
RU-BU,Республика Бурятия
RU-CE,Чеченская Республика
RU-CHE,Челябинская область
RU-CHI,Читинская область
RU-CHU,Чукотский автономный округ
RU-CU,Чувашская республика
RU-DA,Республика Дагестан
RU-EVE,Еврейский автономный округ
RU-IN,Ингушетия
RU-IRK,Иркутская область
RU-IVA,Ивановская область
RU-KAM,Камчатский край
RU-KB,Кабардино-Балкарская Республика
RU-KC,Карачаево-Черкесия
RU-KDA,Краснодарский край
RU-KEM,Кемеровская область
RU-KGD,Калининградская область
RU-KGN,Курганская область
RU-KHA,Хабаровский край
RU-KHM,Ханты-Мансийский АО
RU-KIR,Кировская область
RU-KK,Республика Хакасия
RU-KL,Республика Калмыкия
RU-KLU,Калужская область
RU-KO,Республика Коми
RU-KOP,Коми-Пермяцкий округ
RU-KOR,Корякский автономный округ
RU-KOS,Костромская область
RU-KR,Карелия
RU-KRS,Курская область
RU-KYA,Красноярский край
RU-LEN,Ленинградская область
RU-LIP,Липецкая область
RU-MAG,Магаданская область
RU-ME,Республика Марий Эл
RU-MO,Республика Мордовия
RU-MOS,Московская область
RU-MOW,Москва
RU-MUR,Мурманская область
RU-NEN,Ненецкий автономный округ
RU-NGR,Новгородская область
RU-NIZ,Нижегородская область
RU-NVS,Новосибирская область
RU-OMS,Омская область
RU-ORE,Оренбургская область
RU-ORL,Орловская область
RU-PER,Пермский край
RU-PNZ,Пензенская область
RU-PRI,Приморский край
RU-PSK,Псковская область
RU-ROS,Ростовская область
RU-RYA,Рязанская область
RU-SA,Республика Саха (Якутия)
RU-SAK,Сахалинская область
RU-SAM,Самарская область
RU-SAR,Саратовская область
RU-SE,Северная Осетия
RU-SMO,Смоленская область
RU-SPE,Санкт-Петербург
RU-STA,Ставропольский край
RU-SVE,Свердловская область
RU-TA,Татарстан
RU-TAM,Тамбовская область
RU-TAY,Таймырский (Долгано-Ненецкий) автономный округ
RU-TOM,Томская область
RU-TUL,Тульская область
RU-TVE,Тверская область
RU-TY,Тыва
RU-TYU,Тюменская область
RU-UD,Удмуртская Республика
RU-ULY,Ульяновская область
RU-UOB,Усть-Ордынский Бурятский округ
RU-VGG,Волгоградская область
RU-VLA,Владимирская область
RU-VLG,Вологодская область
RU-VOR,Воронежская область
RU-YAN,Ямало-Ненецкий автономный округ
RU-YAR,Ярославская область
RU-YEV,Еврейская автономная область
RU-ZAB,Забайкальский край
RU-43,Республика Крым
RU-40,Севастополь
US-AK,Аляска
US-AL,Алабама
US-AR,Арканзас
US-AS,Американское Самоа
US-AZ,Аризона
US-CA,Калифорния
US-CO,Колорадо
US-CT,Коннектикут
US-DC,Округ Колумбия
US-DE,Делавэр
US-FL,Флорида
US-GA,Джорджия
US-GU,Гуам
US-HI,Гавайи
US-IA,Айова
US-ID,Айдахо
US-IL,Иллинойс
US-IN,Индиана
US-KS,Канзас
US-KY,Кентукки
US-LA,Луизиана
US-MA,Массачусетс
US-MD,Мэриленд
US-ME,Мэн
US-MI,Мичиган
US-MN,Миннесота
US-MO,Миссури
US-MP,Северные Марианские острова
US-MS,Миссисипи
US-MT,Монтана
US-NC,Северная Каролина
US-ND,Северная Дакота
US-NE,Небраска
US-NH,Нью-Гемпшир
US-NJ,Нью-Джерси
US-NM,Нью-Мексико
US-NV,Невада
US-NY,Нью-Йорк
US-OH,Огайо
US-OK,Оклахома
US-OR,Орегон
US-PA,Пенсильвания
US-PR,Пуэрто-Рико
US-RI,Род-Айленд
US-SC,Южная Каролина
US-SD,Южная Дакота
US-TN,Теннесси
US-TX,Техас
US-UT,Юта
US-VA,Виргиния
US-VI,Американские Виргинские острова
US-VT,Вермонт
US-WA,Вашингтон
US-WI,Висконсин
US-WV,Западная Виргиния
US-WY,Вайоминг
